time,ax,ay,az,aT
2.004000,-0.0090,-0.0086,0.3319,0.332
2.004000,0.0072,-0.0046,0.3303,0.330
2.005000,0.0266,0.0140,0.3061,0.308
2.011000,0.0298,-0.0006,0.3378,0.339
2.024000,0.0168,-0.0207,0.3163,0.317
2.025000,0.0122,-0.0206,0.2584,0.259
2.025000,0.0262,-0.0057,0.2620,0.263
2.028000,0.0309,0.0242,0.3099,0.312
2.042000,-0.0014,0.0000,0.2759,0.276
2.043000,0.0235,0.0029,0.3037,0.305
2.043000,0.0234,0.0117,0.3297,0.331
2.058000,0.0036,-0.0087,0.3305,0.331
2.058000,0.0321,0.0066,0.3111,0.313
2.059000,0.0192,0.0138,0.2907,0.292
2.075000,-0.0163,-0.0238,0.3228,0.324
2.076000,0.0103,-0.0235,0.2768,0.278
2.076000,0.0224,0.0167,0.2565,0.258
2.078000,0.0368,0.0068,0.3203,0.323
2.093000,0.0334,-0.0102,0.3148,0.317
2.094000,0.0298,-0.0190,0.2957,0.298
2.094000,0.0315,-0.0083,0.2759,0.278
2.109000,0.0211,-0.0026,0.2677,0.269
2.111000,0.0066,-0.0046,0.2877,0.288
2.112000,0.0120,-0.0161,0.2774,0.278
2.139000,0.0138,-0.0209,0.2909,0.292
2.141000,-0.0047,-0.0130,0.2706,0.271
2.142000,0.0372,-0.0124,0.3056,0.308
2.143000,0.0523,0.0195,0.3487,0.353
2.143000,0.0032,0.0074,0.3291,0.329
2.144000,0.0287,-0.0096,0.3283,0.330
2.147000,0.0470,-0.0289,0.3380,0.342
2.154000,0.0406,-0.0024,0.3853,0.387
2.158000,0.0193,0.0045,0.3337,0.334
2.162000,0.0205,0.0271,0.3585,0.360
2.168000,-0.0129,0.0249,0.4237,0.425
2.172000,-0.0209,-0.0049,0.4297,0.430
2.181000,0.0064,-0.0176,0.4187,0.419
2.183000,0.0402,-0.0511,0.4341,0.439
2.187000,0.0667,-0.0113,0.4728,0.478
2.192000,0.0689,0.0235,0.4612,0.467
2.198000,0.0603,0.0254,0.4769,0.481
2.202000,0.0052,0.0130,0.4681,0.468
2.207000,0.0487,0.0023,0.4334,0.436
2.211000,0.0593,0.0123,0.4491,0.453
2.217000,0.0544,0.0151,0.5175,0.521
2.221000,0.0454,0.0190,0.4473,0.450
2.227000,0.0155,0.0036,0.3982,0.399
2.242000,0.0349,0.0007,0.4045,0.406
2.244000,0.0391,0.0422,0.3610,0.366
2.244000,0.0601,0.0191,0.3245,0.331
2.250000,0.0545,-0.0106,0.3884,0.392
2.252000,0.0061,0.0034,0.3970,0.397
2.255000,0.0138,0.0053,0.3273,0.328
2.261000,0.0106,-0.0300,0.4614,0.463
2.267000,0.0057,-0.0419,0.4781,0.480
2.270000,0.0324,-0.0065,0.5056,0.507
2.276000,0.0293,0.0049,0.4113,0.412
2.281000,0.0197,-0.0178,0.4482,0.449
2.286000,0.0333,0.0141,0.5198,0.521
2.291000,0.0477,0.0103,0.4743,0.477
2.296000,0.0193,-0.0042,0.4355,0.436
2.301000,0.0190,-0.0333,0.3879,0.390
2.305000,-0.0034,-0.0475,0.4416,0.444
2.309000,0.0690,-0.0288,0.5103,0.516
2.315000,-0.0238,-0.0226,0.4542,0.455
2.325000,-0.0179,0.0138,0.4512,0.452
2.327000,0.0037,0.0042,0.5563,0.556
2.341000,-0.0149,-0.0008,0.4468,0.447
2.342000,-0.0250,0.0516,0.6299,0.633
2.343000,-0.0336,0.0820,0.4096,0.419
2.345000,0.0123,-0.0031,0.4858,0.486
2.350000,0.0392,0.0132,0.5123,0.514
2.354000,0.0777,0.0343,0.5264,0.533
2.360000,0.0494,0.0070,0.3842,0.387
2.365000,0.0295,0.0266,0.5092,0.511
2.369000,0.0358,0.0681,0.4967,0.503
2.375000,0.0454,0.0754,0.5185,0.526
2.385000,0.0282,0.0877,0.5369,0.545
2.386000,0.0046,0.0721,0.5691,0.574
2.389000,0.0162,0.0740,0.5219,0.527
2.394000,0.0589,0.0703,0.5771,0.584
2.401000,0.0508,0.0322,0.5652,0.568
2.404000,0.0709,0.0354,0.5594,0.565
2.410000,0.0752,0.0064,0.5686,0.574
2.414000,0.0204,-0.0095,0.5196,0.520
2.419000,0.0563,-0.0253,0.5655,0.569
2.425000,-0.0048,-0.0411,0.5654,0.567
2.430000,0.0216,-0.0651,0.5110,0.516
2.434000,0.0421,-0.0423,0.5711,0.574
2.439000,0.0246,-0.0364,0.5779,0.580
2.444000,0.0422,-0.0450,0.5369,0.540
2.449000,0.0502,-0.0385,0.5743,0.578
2.454000,0.0486,-0.0427,0.5390,0.543
2.460000,0.0432,-0.0161,0.5282,0.530
2.469000,0.0278,-0.0334,0.5576,0.559
2.472000,0.0298,-0.0360,0.5705,0.572
2.474000,0.0402,-0.0245,0.5280,0.530
2.498000,0.0422,-0.0434,0.5227,0.526
2.500000,0.0022,-0.0284,0.4999,0.501
2.501000,-0.0083,-0.0277,0.5149,0.516
2.501000,0.0257,-0.0123,0.5473,0.548
2.502000,-0.0024,-0.0158,0.5617,0.562
2.504000,0.0026,0.0178,0.5586,0.559
2.509000,0.0604,0.0454,0.5474,0.553
2.514000,0.0620,0.0508,0.5449,0.551
2.519000,0.0305,0.0298,0.5870,0.589
2.523000,0.0252,0.0148,0.5552,0.556
2.530000,0.0274,0.0391,0.5723,0.574
2.533000,0.0004,0.0679,0.6134,0.617
2.538000,0.0096,0.0921,0.6674,0.674
2.543000,0.0245,0.0745,0.6963,0.701
2.549000,-0.0112,0.0612,0.6730,0.676
2.553000,-0.0078,0.0692,0.6477,0.651
2.559000,0.0185,0.0614,0.6442,0.647
2.570000,0.0145,0.0546,0.6602,0.663
2.572000,0.0142,0.0326,0.6387,0.640
